Crash Severity Description,Reportnumber,Agencyname,CollisionImpact Description,Crash County Description,FunctionalClass Description,ImpairedCrash,Large Vehicle Involved,OffRoad,RoadName,Route Number,RouteType Description,Unrestrained Occupants,Crashdate,Work Zone Crash,Latitude,Longitude,CrashYear,Crashtime,Crashhour
Property Damage Crashes,MSP487500MY,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME,70.0,INTERSTATE ROUTE,No,3/19/2025,No,39.308843667,-76.9541315,2025,16:17,16
Property Damage Crashes,DA4278006P,Prince George's County Police,Single Vehicle,Prince George's,Minor Arterial,No,Yes,No,RACE TRACK RD,49.0,COUNTY ROAD,No,1/19/2025,No,38.99773578,-76.740817477,2025,20:30,20
Injury Crashes,MTA0385002B,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,,No,Yes,No,,1357.0,MUNICIPAL ROAD,Yes,1/5/2025,No,39.294796087,-76.605997569,2025,11:30,11
Property Damage Crashes,DA4415000B,Prince George's County Police,Front to Rear,Prince George's,Local,No,Yes,No,LEBANON ST,1691.0,COUNTY ROAD,Yes,1/22/2025,No,38.9891334,-76.9756058,2025,15:34,15
Injury Crashes,ADK492001Y,Baltimore City Police Department,Front to Rear,Baltimore City,Local,No,Yes,No,CRESMONT AV,3394.0,MUNICIPAL ROAD,Yes,1/17/2025,No,39.322757007,-76.621032476,2025,17:02,17
Injury Crashes,DA31390009,Prince George's County Police,Unknown,Prince George's,,No,Yes,Yes,,,,No,1/14/2025,No,38.796046404,-76.983753655,2025,09:23,9
Property Damage Crashes,ADK800000Z,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Minor Arterial,No,Yes,No,PARK HEIGHTS AVE,129.0,MARYLAND ROUTE,No,2/24/2025,No,39.355781797,-76.688168379,2025,09:17,9
Property Damage Crashes,MSP78680029,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (OUTER LOOP),695.0,INTERSTATE ROUTE,No,2/27/2025,No,39.3272418,-76.7449459,2025,07:09,7
Injury Crashes,MDTA137500BD,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,RAMP 4 FR IS 95 NB TO MD 150 EB,95.0,RAMP,No,2/22/2025,No,39.287910096,-76.531676707,2025,20:19,20
Injury Crashes,MTA04820005,Maryland Transit Administration,Single Vehicle,Baltimore City,,No,Yes,No,,2100.0,MUNICIPAL ROAD,Yes,2/21/2025,No,39.344336093,-76.633397976,2025,18:48,18
Injury Crashes,MSP76880017,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Interstate,No,Yes,No,RAMP 6 FR US 40 EB TO IS 695 SB,695.0,RAMP,No,1/27/2025,No,39.285255472,-76.740382435,2025,06:53,6
Property Damage Crashes,BSPDA240002N,Baltimore City School Police,Other,Baltimore City,,No,Yes,No,,45.0,MARYLAND ROUTE,No,2/6/2025,No,39.354668561,-76.609874532,2025,08:50,8
Property Damage Crashes,DGSP02690003,Maryland Capitol Police,Single Vehicle,Anne Arundel,Local,No,Yes,No,ST JOHNS ST,2760.0,MUNICIPAL ROAD,No,1/27/2025,No,38.981823052,-76.494110581,2025,07:50,7
Property Damage Crashes,AC2577002R,Anne Arundel County Police,Rear To Side,Anne Arundel,Local,No,Yes,No,POPLAR RIDGE RD,1816.0,COUNTY ROAD,No,1/6/2025,No,39.130201858,-76.447750723,2025,14:17,14
Property Damage Crashes,MSP7787005B,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Interstate,No,Yes,No,RAMP 7 FR IS 95 WB TO US 1 SB,95.0,RAMP,No,3/5/2025,No,39.01965024,-76.925833841,2025,07:13,7
Property Damage Crashes,AE6429006G,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,WENDOVER RD,3707.0,COUNTY ROAD,No,3/1/2025,No,39.377183866,-76.551651585,2025,18:30,18
Property Damage Crashes,AE527700QL,Baltimore County Police Department,Single Vehicle,Baltimore County,Minor Collector,No,Yes,No,COWPENS AVE,3808.0,COUNTY ROAD,No,1/27/2025,No,39.407087624,-76.568519382,2025,12:10,12
Property Damage Crashes,ADK6030034,Baltimore City Police Department,Front to Rear,Baltimore City,Local,No,Yes,No,S ELLAMONT ST,7524.0,MUNICIPAL ROAD,No,1/6/2025,No,39.261505442,-76.662288671,2025,19:00,19
Injury Crashes,ADL073000G,Baltimore City Police Department,Angle,Baltimore City,Minor Arterial,No,Yes,No,LOCH RAVEN BLVD (SB/L),542.0,MARYLAND ROUTE,No,3/6/2025,No,39.3375777,-76.5945231,2025,14:19,14
Injury Crashes,ADJ24700BZ,Baltimore City Police Department,Single Vehicle,Baltimore City,Local,No,Yes,No,PATAPSCO ST,5568.0,MUNICIPAL ROAD,No,1/3/2025,No,39.273529878,-76.613272475,2025,17:50,17
Property Damage Crashes,DA42760077,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Major Collector,No,Yes,No,ARDWICK ARDMORE RD,65.0,COUNTY ROAD,No,2/13/2025,No,38.937403989,-76.859208841,2025,13:20,13
Property Damage Crashes,AC2590002N,Anne Arundel County Police,"Sideswipe, Opposite Direction",Anne Arundel,,No,Yes,No,,2633.0,COUNTY ROAD,Yes,1/9/2025,No,39.028883943,-76.717282018,2025,09:38,9
Property Damage Crashes,DA4239007C,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Minor Arterial,No,Yes,No,ANNAPOLIS RD (WB/L),450.0,MARYLAND ROUTE,No,1/15/2025,No,38.965464285,-76.845953987,2025,15:45,15
Injury Crashes,MTA0437000X,Maryland Transit Administration,Single Vehicle,Baltimore City,,No,Yes,No,,5070.0,LOCAL ROAD,Yes,1/16/2025,No,39.306036,-76.591432,2025,10:23,10
Property Damage Crashes,MSP7587007Y,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME,95.0,INTERSTATE ROUTE,No,3/20/2025,No,39.176563017,-76.791325217,2025,15:15,15
Property Damage Crashes,ADH514002T,Baltimore City Police Department,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,ECHODALE AVE,1041.0,MUNICIPAL ROAD,No,3/24/2025,No,39.345081999,-76.558046717,2025,15:54,15
Injury Crashes,AC21710098,Anne Arundel County Police,Front to Rear,Anne Arundel,Minor Arterial,No,Yes,No,MOUNTAIN RD (WB/L),177.0,MARYLAND ROUTE,Yes,2/14/2025,No,39.119383082,-76.509108206,2025,08:59,8
Property Damage Crashes,DA4050006V,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,RIVERDALE RD,3048.0,COUNTY ROAD,Yes,3/6/2025,No,38.959064095,-76.919216104,2025,16:22,16
Injury Crashes,MTA02160018,Maryland Transit Administration,Angle,Baltimore County,Minor Arterial,Yes,Yes,No,DAISY AVE,3281.0,COUNTY ROAD,Yes,2/21/2025,No,39.24492,-76.646984,2025,21:30,21
Property Damage Crashes,MSP732800K5,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Interstate,Yes,Yes,No,CAPITAL BELTWAY,95.0,INTERSTATE ROUTE,No,1/29/2025,No,39.009314546,-76.900622699,2025,06:04,6
Injury Crashes,AE40170039,Baltimore County Police Department,Single Vehicle,Baltimore County,Minor Collector,No,Yes,No,BALDWIN MILL RD,165.0,MARYLAND ROUTE,No,3/17/2025,No,39.509252835,-76.480539879,2025,14:35,14
Property Damage Crashes,DA4429000H,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Minor Arterial,No,Yes,No,LANHAM SEVERN RD,564.0,MARYLAND ROUTE,No,3/12/2025,No,38.985786589,-76.822119662,2025,06:45,6
Property Damage Crashes,MSP78790011,Maryland State Police,Front to Rear,Baltimore County,Interstate,No,Yes,No,RAMP 8 FR IS 95 SB TO IS 695 WB,95.0,RAMP,No,1/28/2025,No,39.25430896,-76.683932103,2025,16:09,16
Property Damage Crashes,DA3826009C,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other,No,Yes,No,BRANCH AVE,5.0,MARYLAND ROUTE,No,2/4/2025,No,38.847522874,-76.952557986,2025,08:06,8
Fatal Crashes,MSP7676006P,Maryland State Police,Front to Rear,Anne Arundel,Interstate,Yes,Yes,No,JOHN HANSON HWY (WB/L),595.0,INTERSTATE ROUTE,Yes,1/18/2025,No,38.963386667,-76.639876667,2025,19:47,19
Property Damage Crashes,AC2550004G,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,Minor Arterial,No,Yes,No,REECE RD (SB/L),174.0,MARYLAND ROUTE,No,3/4/2025,No,39.143662711,-76.647577296,2025,11:00,11
Property Damage Crashes,ADJ294007C,Baltimore City Police Department,Single Vehicle,Baltimore City,,No,Yes,Yes,,,,No,1/30/2025,No,39.301822903,-76.564628402,2025,15:00,15
Property Damage Crashes,BSPDA314000B,Baltimore City School Police,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,COVINGTON ST,3383.0,MUNICIPAL ROAD,Yes,3/26/2025,No,39.276533298,-76.606935243,2025,14:30,14
Property Damage Crashes,DA4252005J,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,STERLING ST,562.0,COUNTY ROAD,Yes,1/21/2025,No,38.934201613,-76.85811354,2025,11:13,11
Property Damage Crashes,BSPDA163000K,Baltimore City School Police,Rear To Rear,Baltimore City,Local,No,Yes,No,WHITNEY AV,6736.0,MUNICIPAL ROAD,Yes,1/8/2025,No,39.358137819,-76.676954643,2025,16:28,16
Property Damage Crashes,ADI279000R,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,E LOMBARD ST,1390.0,MUNICIPAL ROAD,No,2/27/2025,No,39.287817658,-76.614908822,2025,13:20,13
Property Damage Crashes,DA4418000Z,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,TUCKERMAN ST,1527.0,COUNTY ROAD,No,3/27/2025,No,38.966732647,-76.916810465,2025,12:10,12
Injury Crashes,MSP673900LS,Maryland State Police,Single Vehicle,Anne Arundel,Interstate,No,Yes,No,NO NAME,97.0,INTERSTATE ROUTE,No,1/8/2025,No,39.005631667,-76.601796667,2025,04:42,4
Property Damage Crashes,DS0471000Q,University of Maryland Police College Park,"Sideswipe, Same Direction",Prince George's,Major Collector,No,Yes,No,CAMPUS DR (WB/L),69.0,STATE ROAD,No,2/7/2025,No,38.988687849,-76.935190207,2025,16:06,16
Property Damage Crashes,AE440101M6,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,OVERVIEW AVE,5149.0,COUNTY ROAD,Yes,3/6/2025,No,39.292693403,-76.526355497,2025,07:20,7
Property Damage Crashes,ADK946001C,Baltimore City Police Department,Angle,Baltimore City,Principal Arterial – Other,No,Yes,No,E MONUMENT ST,1370.0,MUNICIPAL ROAD,No,1/3/2025,No,39.298003863,-76.604120802,2025,13:26,13
Property Damage Crashes,DA28290017,Prince George's County Police,Angle,Prince George's,Minor Arterial,No,Yes,No,RIGGS RD (SB/L),212.0,MARYLAND ROUTE,Yes,2/21/2025,No,38.97155351,-76.980170118,2025,09:06,9
Property Damage Crashes,MSP7879001V,Maryland State Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,JONES FALLS EXPWY (SB/L),83.0,INTERSTATE ROUTE,No,3/11/2025,No,39.367540674,-76.650983453,2025,12:48,12
Injury Crashes,ADK513004N,Baltimore City Police Department,"Sideswipe, Opposite Direction",Baltimore City,Local,No,Yes,No,S CALVERTON RD,3170.0,MUNICIPAL ROAD,No,1/27/2025,No,39.287857193,-76.653811907,2025,09:09,9
Property Damage Crashes,DA4256005V,Prince George's County Police,"Sideswipe, Opposite Direction",Prince George's,,No,Yes,No,,91.0,COUNTY ROAD,No,3/3/2025,No,38.846612389,-76.83153637,2025,09:24,9
Property Damage Crashes,ADH58400MC,Baltimore City Police Department,Front to Rear,Baltimore City,,No,Yes,No,,2880.0,MUNICIPAL ROAD,No,3/5/2025,No,39.312567653,-76.672538777,2025,09:16,9
Property Damage Crashes,ADK9420033,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,S HILTON ST,4465.0,MUNICIPAL ROAD,No,3/18/2025,No,39.2831883,-76.672093877,2025,16:12,16
Property Damage Crashes,ADK766005P,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,E MONUMENT ST,1370.0,MUNICIPAL ROAD,Yes,1/23/2025,No,39.299854423,-76.554422312,2025,08:24,8
Property Damage Crashes,ADJ613002R,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,,No,Yes,No,,6179.0,LOCAL ROAD,No,1/14/2025,No,39.347690694,-76.585089222,2025,08:15,8
Property Damage Crashes,MTA01450020,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,SECURITY BLVD (WB/L),2400.0,COUNTY ROAD,No,2/25/2025,No,39.313960044,-76.757563024,2025,07:24,7
Property Damage Crashes,BSPDA3290002,Baltimore City School Police,Unknown,Baltimore City,Local,No,Yes,No,BEAUFORT AV,785.0,MUNICIPAL ROAD,Yes,1/28/2025,No,39.3451114,-76.6776714,2025,09:19,9
Property Damage Crashes,DA351500CZ,Prince George's County Police,Single Vehicle,Prince George's,Minor Arterial,No,Yes,No,LANHAM SEVERN RD,564.0,MARYLAND ROUTE,No,2/16/2025,No,38.993476118,-76.807767727,2025,20:20,20
Property Damage Crashes,MDTA125700F5,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,FORT MCHENRY TUNNEL (SB/L),95.0,INTERSTATE ROUTE,No,2/21/2025,No,39.284565801,-76.544789204,2025,10:56,10
Injury Crashes,MSP78650016,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other Freeways and Expressways,No,Yes,No,JOHN HANSON HWY,50.0,UNITED STATE ROUTE,No,1/29/2025,No,38.94405985,-76.8750051,2025,11:36,11
Property Damage Crashes,CB6412002F,Howard County Police,"Sideswipe, Opposite Direction",Howard,Local,No,Yes,No,HUNTSHIRE DR,2806.0,COUNTY ROAD,No,2/26/2025,No,39.194094167,-76.771848,2025,16:52,16
Property Damage Crashes,AE6487005W,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Minor Arterial,No,Yes,No,MC DONOGH RD,2250.0,COUNTY ROAD,No,1/17/2025,No,39.384463333,-76.788392667,2025,16:00,16
Injury Crashes,MTA0385002L,Maryland Transit Administration,Single Vehicle,Baltimore City,Minor Arterial,No,Yes,No,PRESSTMAN ST,4160.0,MUNICIPAL ROAD,Yes,3/24/2025,No,39.30548315,-76.646004992,2025,06:18,6
Property Damage Crashes,MSP678700MY,Maryland State Police,Single Vehicle,Anne Arundel,,No,Yes,Yes,,,,No,1/6/2025,No,38.999313367,-76.481528915,2025,21:31,21
Property Damage Crashes,AE4721003Y,Baltimore County Police Department,Single Vehicle,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (OUTER LOOP),695.0,INTERSTATE ROUTE,No,2/15/2025,No,39.307143415,-76.744256072,2025,16:15,16
Property Damage Crashes,ADK849004L,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,ROSALIE AV,5779.0,MUNICIPAL ROAD,No,2/11/2025,No,39.36763885,-76.546589413,2025,16:37,16
Property Damage Crashes,ADK850001X,Baltimore City Police Department,Unknown,Baltimore City,,No,Yes,Yes,,,,No,3/13/2025,No,39.302131988,-76.625060437,2025,10:20,10
Property Damage Crashes,DA4363000P,Prince George's County Police,Front to Rear,Prince George's,Principal Arterial – Other,No,Yes,No,MARTIN LUTHER KING JR HWY (WB/L),704.0,MARYLAND ROUTE,No,2/13/2025,No,38.941118078,-76.853429247,2025,13:21,13
Property Damage Crashes,AE527700QP,Baltimore County Police Department,Angle,Baltimore County,Minor Arterial,No,Yes,No,MT CARMEL RD,137.0,MARYLAND ROUTE,No,2/21/2025,No,39.584538569,-76.713857464,2025,10:40,10
Property Damage Crashes,AC223700D2,Anne Arundel County Police,Rear To Rear,Anne Arundel,,No,Yes,Yes,,,,No,1/25/2025,No,39.211498154,-76.645835067,2025,17:18,17
Property Damage Crashes,DA419600DF,Prince George's County Police,Front to Rear,Prince George's,,No,Yes,No,,4475.0,COUNTY ROAD,No,3/21/2025,Yes,38.8873978,-76.852462,2025,18:06,18
Property Damage Crashes,ADK8950027,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,ROLAND HEIGHTS AV,5769.0,MUNICIPAL ROAD,No,3/19/2025,No,39.34084603,-76.640219303,2025,14:40,14
Property Damage Crashes,DA351500CQ,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,,No,Yes,No,FAIRVIEW VISTA DR,3388.0,LOCAL ROAD,No,1/22/2025,No,38.952574661,-76.754896486,2025,09:43,9
Property Damage Crashes,MSP603600NF,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,Minor Arterial,No,Yes,No,ROSSVILLE BLVD (WB/L),4458.0,COUNTY ROAD,No,1/8/2025,No,39.337510471,-76.480916509,2025,08:35,8
Property Damage Crashes,JCP123000G,University of Maryland Baltimore Police,"Sideswipe, Same Direction",Baltimore City,Minor Arterial,No,Yes,No,W BALTIMORE ST,1670.0,MUNICIPAL ROAD,No,1/7/2025,No,39.288994216,-76.629171049,2025,10:34,10
Property Damage Crashes,ADF408001H,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,CARDENAS AV,3184.0,MUNICIPAL ROAD,No,1/25/2025,No,39.322817261,-76.575517889,2025,22:08,22
Property Damage Crashes,DS05310009,University of Maryland Police College Park,"Sideswipe, Same Direction",Prince George's,Major Collector,No,Yes,No,GUILFORD DR (WB/L),550.0,MUNICIPAL ROAD,No,3/20/2025,No,38.978304704,-76.939311365,2025,10:21,10
Property Damage Crashes,MSP744700NN,Maryland State Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other Freeways and Expressways,No,Yes,No,PENNSYLVANIA AVE,4.0,MARYLAND ROUTE,No,3/29/2025,No,38.811106667,-76.813938698,2025,05:00,5
Injury Crashes,MSP720000FQ,Maryland State Police,Other,Baltimore County,Interstate,No,Yes,No,J F K MEMORIAL HWY,95.0,INTERSTATE ROUTE,No,3/26/2025,No,39.430828144,-76.384372451,2025,19:39,19
Property Damage Crashes,MDTA137500BK,Maryland Transportation Authority Police,Front to Rear,Baltimore City,Interstate,No,Yes,No,RAMP 4 FR MD 295 NB TO IS 95 EB,95.0,RAMP,No,3/17/2025,No,39.268741453,-76.631458278,2025,17:13,17
Property Damage Crashes,AE6480004J,Baltimore County Police Department,Angle,Baltimore County,Minor Arterial,No,Yes,No,OLD HARFORD RD,3600.0,COUNTY ROAD,No,1/22/2025,No,39.398319294,-76.536639088,2025,09:10,9
Injury Crashes,DA4316004T,Prince George's County Police,Other,Prince George's,Minor Arterial,No,Yes,No,POWDER MILL RD,212.0,MARYLAND ROUTE,Yes,2/5/2025,No,39.044998207,-76.941108052,2025,06:50,6
Injury Crashes,MTA0296001D,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore County,Minor Arterial,No,Yes,No,MILFORD MILL RD (EB/L),1800.0,COUNTY ROAD,Yes,2/26/2025,No,39.353588622,-76.758659076,2025,07:27,7
Property Damage Crashes,DA4431000C,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Principal Arterial – Other,No,Yes,No,BALTIMORE AVE,1.0,UNITED STATE ROUTE,No,1/17/2025,No,39.011449051,-76.928459721,2025,08:00,8
Property Damage Crashes,MDTA1822005L,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Interstate,No,Yes,No,RAMP 5 FR IS 95 SB TO ODONNELL ST,95.0,RAMP,No,3/27/2025,No,39.284545013,-76.544434083,2025,08:10,8
Property Damage Crashes,MSP7453009H,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY,95.0,INTERSTATE ROUTE,No,3/7/2025,No,38.98079855,-76.875613117,2025,08:07,8
Property Damage Crashes,ADI319002R,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,,No,Yes,Yes,,,,Yes,3/13/2025,No,39.309962085,-76.636973463,2025,01:43,1
Property Damage Crashes,AE620600CW,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Major Collector,No,Yes,No,MARLYN AVE S,4775.0,COUNTY ROAD,No,1/15/2025,No,39.297683713,-76.46131756,2025,15:00,15
Injury Crashes,MTA04880003,Maryland Transit Administration,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,LIGHT ST (SB/L),2.0,MARYLAND ROUTE,Yes,1/22/2025,No,39.286605675,-76.613638869,2025,13:15,13
Property Damage Crashes,AC2453007H,Anne Arundel County Police,Front to Rear,Anne Arundel,Principal Arterial – Other,No,Yes,No,SOLOMONS ISLAND RD,2.0,MARYLAND ROUTE,No,2/18/2025,No,38.972947084,-76.541974601,2025,07:52,7
Property Damage Crashes,BSPDA158000V,Baltimore City School Police,Front to Rear,Baltimore City,Minor Arterial,No,Yes,No,ST LO DR,1080.0,MUNICIPAL ROAD,No,2/6/2025,No,39.321171002,-76.590578995,2025,16:00,16
Property Damage Crashes,MSP744700LR,Maryland State Police,Front to Rear,Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY,95.0,INTERSTATE ROUTE,No,1/3/2025,No,38.911405,-76.849785,2025,20:13,20
Property Damage Crashes,MDTA18220059,Maryland Transportation Authority Police,"Sideswipe, Same Direction",Baltimore City,Local,No,Yes,No,MERTENS ST,5346.0,MUNICIPAL ROAD,No,2/5/2025,No,39.262341394,-76.569217329,2025,13:31,13
Property Damage Crashes,MSP63190078,Maryland State Police,"Sideswipe, Same Direction",Anne Arundel,Interstate,No,Yes,No,JOHN HANSON HWY (WB/L),595.0,INTERSTATE ROUTE,Yes,1/3/2025,No,38.982781868,-76.551247532,2025,06:49,6
Property Damage Crashes,MSP727600CK,Maryland State Police,"Sideswipe, Same Direction",Howard,Interstate,No,Yes,No,NO NAME (WB/L),70.0,INTERSTATE ROUTE,No,1/22/2025,No,39.30806899,-76.941979278,2025,10:10,10
Property Damage Crashes,DA4429000B,Prince George's County Police,Angle,Prince George's,Major Collector,No,Yes,No,HAMPTON PARK BLVD,4475.0,COUNTY ROAD,Yes,1/15/2025,No,38.890486444,-76.853625784,2025,09:00,9
Property Damage Crashes,AB500500LW,Annapolis Police Department,"Sideswipe, Opposite Direction",Anne Arundel,,No,Yes,No,WEST ST (WB/L),450.0,MARYLAND ROUTE,No,1/8/2025,No,38.977958946,-76.497144809,2025,12:24,12
Property Damage Crashes,BSPDA136000B,Baltimore City School Police,"Sideswipe, Same Direction",Baltimore City,,No,Yes,No,,1.0,UNITED STATE ROUTE,Yes,1/16/2025,No,39.334398087,-76.556953217,2025,07:30,7
Property Damage Crashes,MSP475300MZ,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME (SB/L),95.0,INTERSTATE ROUTE,No,3/24/2025,No,39.158978067,-76.82911225,2025,06:40,6
Property Damage Crashes,AC24390043,Anne Arundel County Police,"Sideswipe, Same Direction",Anne Arundel,,No,Yes,Yes,,,,Yes,3/18/2025,No,39.12078475,-76.64277795,2025,12:51,12
Property Damage Crashes,AE440101LH,Baltimore County Police Department,"Sideswipe, Same Direction",Baltimore County,Local,No,Yes,No,NEW PITTSBURG AVE,5266.0,COUNTY ROAD,No,2/14/2025,No,39.235191667,-76.504023833,2025,13:30,13
Property Damage Crashes,MDTA1207009C,Maryland Transportation Authority Police,Front to Rear,Baltimore City,Interstate,No,Yes,No,HARBOR TUNNEL THRUWAY,895.0,INTERSTATE ROUTE,No,1/14/2025,No,39.252454713,-76.572475541,2025,07:51,7
Property Damage Crashes,AB71720020,Annapolis Police Department,Unknown,Anne Arundel,Principal Arterial – Other,No,Yes,No,FOREST DR (NB/L),5464.0,COUNTY ROAD,Yes,1/14/2025,No,38.955595983,-76.505628098,2025,15:47,15
Injury Crashes,MTA04020017,Maryland Transit Administration,Front to Rear,Baltimore City,Major Collector,No,Yes,No,BLOOMINGDALE RD,2070.0,MUNICIPAL ROAD,Yes,2/27/2025,No,39.308281517,-76.670272867,2025,23:05,23
Property Damage Crashes,AE576500JY,Baltimore County Police Department,Single Vehicle,Baltimore County,,No,Yes,Yes,,,,No,2/17/2025,No,39.4422699,-76.4151277,2025,18:10,18
Property Damage Crashes,DA3315004J,Prince George's County Police,Rear To Side,Prince George's,,No,Yes,Yes,,,,Yes,2/11/2025,No,39.044211272,-76.944957828,2025,07:46,7
Injury Crashes,AE4998010V,Baltimore County Police Department,"Sideswipe, Opposite Direction",Baltimore County,Principal Arterial – Other,No,Yes,No,GOUCHER BLVD (SB/L),3333.0,COUNTY ROAD,No,1/27/2025,No,39.395452372,-76.584221813,2025,07:56,7
Property Damage Crashes,MSP78730017,Maryland State Police,Rear To Side,Baltimore County,Interstate,No,Yes,No,BALTO BELTWAY (OUTER LOOP),695.0,INTERSTATE ROUTE,No,2/14/2025,No,39.382025177,-76.73711753,2025,14:25,14
Injury Crashes,MSP659500XQ,Maryland State Police,"Sideswipe, Same Direction",Howard,Interstate,No,Yes,No,NO NAME (SB/L),95.0,INTERSTATE ROUTE,No,2/12/2025,No,39.155700672,-76.835574466,2025,15:12,15
Property Damage Crashes,DA4243009D,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Local,No,Yes,No,FERNWOOD DR,5510.0,OTHER PUBLIC ROAD,No,1/10/2025,No,38.864303939,-76.843437954,2025,17:58,17
Property Damage Crashes,AE43300078,Baltimore County Police Department,Front to Rear,Baltimore County,Local,No,Yes,No,MAYMONT CT,6500.0,COUNTY ROAD,No,1/11/2025,No,39.452116548,-76.623139079,2025,08:50,8
Property Damage Crashes,MSP487500MV,Maryland State Police,Front to Rear,Howard,Interstate,No,Yes,No,NO NAME,95.0,INTERSTATE ROUTE,No,2/21/2025,No,39.157570333,-76.825531667,2025,17:12,17
Injury Crashes,DA3561004M,Prince George's County Police,Angle,Prince George's,Principal Arterial – Other Freeways and Expressways,No,Yes,No,RAMP 8 FR MD 201 SB TO MD 459 WB,50.0,RAMP,No,3/12/2025,No,38.921016024,-76.930815409,2025,11:57,11
Property Damage Crashes,AB45180120,Annapolis Police Department,"Sideswipe, Same Direction",Anne Arundel,,No,Yes,No,WEST ST (WB/L),450.0,MARYLAND ROUTE,No,2/25/2025,No,38.976498697,-76.506630755,2025,12:50,12
Property Damage Crashes,ADL1020001,Baltimore City Police Department,"Sideswipe, Same Direction",Baltimore City,Principal Arterial – Other,No,Yes,No,W NORTH AVE,2210.0,MUNICIPAL ROAD,No,3/24/2025,No,39.309443,-76.660148,2025,11:17,11
Property Damage Crashes,CB6134006P,Howard County Police,Rear To Rear,Howard,,No,Yes,Yes,,,,Yes,2/28/2025,No,39.206894447,-76.775111965,2025,15:39,15
Property Damage Crashes,ADJ974004K,Baltimore City Police Department,Front to Rear,Baltimore City,Principal Arterial – Other,No,Yes,No,W NORTH AVE (EB/L),2210.0,MUNICIPAL ROAD,No,2/18/2025,No,39.309495992,-76.657323314,2025,18:20,18
Property Damage Crashes,DA4369001W,Prince George's County Police,"Sideswipe, Same Direction",Prince George's,Interstate,No,Yes,No,CAPITAL BELTWAY (SB/L),95.0,INTERSTATE ROUTE,Yes,1/10/2025,No,38.89644513,-76.848919035,2025,15:25,15
Property Damage Crashes,MSP516300ZZ,Maryland State Police,"Sideswipe, Same Direction",Baltimore County,,No,Yes,No,,695.0,INTERSTATE ROUTE,No,2/18/2025,No,39.411653779,-76.663407349,2025,17:15,17
